"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명"
"3090000","CDFH3301062010000001","20100415","","03","폐업","03","폐업","20150326","","","","956-0000","","132032","서울특별시 도봉구 쌍문동 694번지 5층 ","서울특별시 도봉구 도봉로 551  (쌍문동5층)","","J&H휘트니스","20150326141019","I","2018-08-31 23:59:59.0","","203250.402085598    ","461352.337153617    ","체력단련장업","사립","","1","","","250","",""
"3090000","CDFH3301061991000003","19911207","","03","폐업","03","폐업","20041210","","","","","","132893","서울특별시 도봉구 쌍문동 638번지 ","서울특별시 도봉구 해등로 161  (쌍문동)","","오병헬스크럽","20061030150707","I","2018-08-31 23:59:59.0","","203322.667868943    ","461614.137377211    ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301061992000001","19921023","","03","폐업","03","폐업","20130515","","","","","","132918","서울특별시 도봉구 창동 581-71번지 ","서울특별시 도봉구 덕릉로 251 (창동)","","도원헬스클럽","20150722175715","I","2018-08-31 23:59:59.0","","203383.359766028    ","459756.215388608    ","체력단련장업","사립","","","0","0","","",""
"3090000","CDFH3301062002000002","20021122","","03","폐업","03","폐업","20060331","","","","956-7790","","132850","서울특별시 도봉구 방학동 687-46번지 ","서울특별시 도봉구 도봉로145길 51  (방학동)","","영헬스","20081118112034","I","2018-08-31 23:59:59.0","","203433.432148276    ","462460.466125241    ","체력단련장업","사립","0","1","","","","",""
"3090000","CDFH3301061995000003","19950906","","03","폐업","03","폐업","20080430","","","","","","132854","서울특별시 도봉구 방학동 728-5번지 ","","","정우남녀헬스클럽","20080430101543","I","2018-08-31 23:59:59.0","","","","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301062003000001","20030228","","03","폐업","03","폐업","20030408","","","","956-4620","","132854","서울특별시 도봉구 방학동 705-20번지 2층 ","서울특별시 도봉구 도봉로 704  (방학동2층)","","헬스장","20030411144441","I","2018-08-31 23:59:59.0","","203771.476503128    ","462748.912540831    ","체력단련장업","사립","0","1","1","","","",""
"3090000","CDFH3301061997000004","19970721","","03","폐업","03","폐업","20180723","","","","","","132031","서울특별시 도봉구 쌍문동 45-6번지 쌍문프라자 403호 ","서울특별시 도봉구 해등로 180 (쌍문동)","132031","미스.미스터헬스","20191211155906","U","2019-12-13 02:40:00.0","","203178.306638511    ","461715.702573753    ","체력단련장업","사립","","","0","","","",""
"3090000","CDFH3301061998000001","19980522","","03","폐업","03","폐업","20040609","","","","","","132822","서울특별시 도봉구 도봉동 629-30번지 ","서울특별시 도봉구 마들로 764  (도봉동)","","스마일헬스","20061122132235","I","2018-08-31 23:59:59.0","","204292.478413536    ","463953.594076242    ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301061997000001","19970402","","03","폐업","03","폐업","20130114","","","","","","132866","서울특별시 도봉구 쌍문동 88-145번지 3층 ","서울특별시 도봉구 도봉로 475  (쌍문동3층)","","B&B헬스타운","20130114121057","I","2018-08-31 23:59:59.0","","202931.020021775    ","460658.535386173    ","체력단련장업","사립","","0","0","0","","",""
"3090000","CDFH3301062006000001","20060413","","01","영업/정상","13","영업중","","","","","","","132850","서울특별시 도봉구 방학동 687-46번지 ","서울특별시 도봉구 도봉로145길 51 3층 (방학동)","132850","초이스 짐","20140523145239","I","2018-08-31 23:59:59.0","","203433.432148276    ","462460.466125241    ","체력단련장업","사립","","","","","","",""
"3090000","CDFH3301062006000002","20060619","","01","영업/정상","13","영업중","","","","","","","132941","서울특별시 도봉구 방학동 660-50번지 (2.3층) ","서울특별시 도봉구 도당로 105 (방학동 (2.3층))","01354","비타민플러스휘트니스","20171010155047","I","2018-08-31 23:59:59.0","","203298.921675219    ","462685.000111723    ","체력단련장업","사립","","","","","","",""
"3090000","CDFH3301062014000001","20140331","","01","영업/정상","13","영업중","","","","","","","132904","서울특별시 도봉구 창동 731-57번지 ","서울특별시 도봉구 해등로 144 2층 (창동)","01401","N 피티짐","20140331152421","I","2018-08-31 23:59:59.0","","203497.447636413    ","461575.04359982     ","체력단련장업","사립","","","","","","",""
