"행정구역별(읍면동)","연령별",2020,2020,2020
"행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명)
"면부","20~24세",1834,1122,712
"면부","25~29세",1900,1302,598
"동부","10~14세",44257,23065,21192
"동부","15~19세",43001,23261,19740
"동부","20~24세",54446,31175,23271
"동부","25~29세",61788,34702,27086
"중구","10~14세",9601,5074,4527
"중구","15~19세",9461,5116,4345
"중구","20~24세",12024,6886,5138
"중구","25~29세",13679,7482,6197
"남구","10~14세",14065,7317,6748
"남구","15~19세",15282,8285,6997
"남구","20~24세",22000,12442,9558
"남구","25~29세",23884,13378,10506
"동구","10~14세",8090,4264,3826
"동구","15~19세",7295,3878,3417
"동구","20~24세",8348,4767,3581
"동구","25~29세",9761,5739,4022
"북구","10~14세",12501,6410,6091
"북구","15~19세",10963,5982,4981
"북구","20~24세",12074,7080,4994
"북구","25~29세",14464,8103,6361
"울주군","10~14세",10767,5577,5190
"울주군","15~19세",11044,5936,5108
"울주군","20~24세",13514,8083,5431
"울주군","25~29세",13924,8269,5655
"읍부","10~14세",2069,1051,1018
"읍부","15~19세",3164,1672,1492
"읍부","20~24세",6527,3379,3148
"읍부","25~29세",3874,2428,1446
"면부","10~14세",1068,531,537
"면부","15~19세",2274,1212,1062
"면부","20~24세",5585,3199,2386
"면부","25~29세",4281,2996,1285
"동부","10~14세",20164,10157,10007
"동부","15~19세",13561,6595,6966
"동부","20~24세",9542,5001,4541
"동부","25~29세",13071,5638,7433
"세종시","10~14세",23301,11739,11562
"세종시","15~19세",18999,9479,9520
"세종시","20~24세",21654,11579,10075
"세종시","25~29세",21226,11062,10164
"읍부","10~14세",74263,38122,36141
"읍부","15~19세",73933,37839,36094
"읍부","20~24세",89199,48984,40215
"읍부","25~29세",100687,59040,41647
"면부","10~14세",23404,12210,11194
"면부","15~19세",33064,17786,15278
"면부","20~24세",46008,27534,18474
"면부","25~29세",62131,41801,20330
"동부","10~14세",542756,278334,264422
"동부","15~19세",547525,280212,267313
"동부","20~24세",712439,368451,343988
"동부","25~29세",817978,430819,387159
"수원시","10~14세",55966,28911,27055
"수원시","15~19세",61253,31818,29435
"수원시","20~24세",87071,45091,41980
"수원시","25~29세",102107,54550,47557
"장안구","10~14세",13051,6717,6334
"장안구","15~19세",15827,8587,7240
"장안구","20~24세",23412,12772,10640
"장안구","25~29세",22391,12548,9843
"권선구","10~14세",16124,8316,7808
"권선구","15~19세",16432,8568,7864
"권선구","20~24세",23655,12133,11522
"권선구","25~29세",29910,15590,14320
"팔달구","10~14세",6111,3172,2939
"팔달구","15~19세",7483,3821,3662
"팔달구","20~24세",12238,6137,6101
"팔달구","25~29세",16735,8973,7762
"영통구","10~14세",20680,10706,9974
"영통구","15~19세",21511,10842,10669
"영통구","20~24세",27766,14049,13717
"영통구","25~29세",33071,17439,15632
"성남시","10~14세",40191,20561,19630
"성남시","15~19세",43427,22161,21266
"성남시","20~24세",57930,29110,28820
"성남시","25~29세",70380,36315,34065
"수정구","10~14세",7998,4042,3956
"수정구","15~19세",9710,4996,4714
"수정구","20~24세",17096,8617,8479
"수정구","25~29세",20003,10719,9284
"중원구","10~14세",7414,3813,3601
"중원구","15~19세",8630,4437,4193
"중원구","20~24세",13120,6527,6593
"중원구","25~29세",17470,9221,8249
"분당구","10~14세",24779,12706,12073
"분당구","15~19세",25087,12728,12359
"분당구","20~24세",27714,13966,13748
"분당구","25~29세",32907,16375,16532
"의정부시","10~14세",19490,10069,9421
"의정부시","15~19세",21445,11021,10424
"의정부시","20~24세",29635,14916,14719
"의정부시","25~29세",32438,16470,15968
"안양시","10~14세",23978,12487,11491
"안양시","15~19세",26626,13674,12952
"안양시","20~24세",35752,18335,17417
"안양시","25~29세",39787,20651,19136
"만안구","10~14세",8348,4383,3965
"만안구","15~19세",10127,5230,4897
"만안구","20~24세",16156,8151,8005
"만안구","25~29세",18535,9764,8771
"동안구","10~14세",15630,8104,7526
"동안구","15~19세",16499,8444,8055
"동안구","20~24세",19596,10184,9412
"동안구","25~29세",21252,10887,10365
"부천시","10~14세",32907,16900,16007
"부천시","15~19세",36219,18379,17840
"부천시","20~24세",52859,26996,25863
"부천시","25~29세",63852,33033,30819
"광명시","10~14세",14553,7402,7151
"광명시","15~19세",15065,7816,7249
"광명시","20~24세",17684,9219,8465
"광명시","25~29세",19233,10125,9108
"평택시","10~14세",26306,13536,12770
"평택시","15~19세",25614,13339,12275
"평택시","20~24세",33862,18184,15678
"평택시","25~29세",41736,23564,18172
"동두천시","10~14세",4147,2054,2093
"동두천시","15~19세",4314,2195,2119
"동두천시","20~24세",5509,2932,2577
"동두천시","25~29세",5998,3318,2680
